Artist	Cover Artist	Full Title	Image Files	Plot	Publisher	Series	Writer	Issue No.	Barcode
		Age of Ultron, Book One		For years the heroes of the Marvel Universe have lived in fear that the artificial intelligence known as Ultron would one day evolve to fulfill its desire to wipe out all organic life and take over the Earth -- that day has arrived. This massive 10-part Marvel Universe-spanning event is brought to you by Eisner award-winning writer Brian Michael Bendis and comics legend Bryan Hitch.	Marvel Comics	Age of Ultron	Brian Michael Bendis	1	75960607494500111
Jerome Opeña	Dustin Weaver	Avengers World		CLASSIFIED	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	1	75960607902500111
Adam Kubert	Adam Kubert	AvX, Magneto Master Of Magnetism Vs. The Invincible Iron Man / The Thing Vs. Namor The Sub-Mariner		Variant Cover By Stuart Immonen Amazing Spider-Man 50Th Anniversary Variant By Tba ? The Premier Tie-In To Avengers Vs. X-Men! ? All-Out Action Featuring Cover To Cover Battles, Each Issue Expanding On Fights From The Main Avx Book In Ways You Can't Imagine! ? This Issue: Iron Man Vs. Magneto And Thing Vs. Namor!	Marvel Comics	AvX vs.	Jason Aaron; Kathryn Immonen	1	75960607800400112
	Ryan Stegman	AvX, Round I		A cosmic harbinger warns the Avengers that it's coming.  Thor and Iron Man soon prove that it refers to the Phoenix Force.  Everyone agrees that immediate action is necessary, but the Avengers and the X-Men disagree entirely on exactly what action that needs to be.	Marvel Comics	Avengers vs. X-Men		1	75960607748900171
		Believe, Part 1: Demons and Genies		-Tony Stark—Iron Man: Technological visionary, wealthy playboy, unparalleled engineer, and armored Avenger. His greatest invention becomes his greatest mistake. Iron Man must act fast…and Tony Stark must build faster! The lethal techno virus Extremis is out in the wild and out for grabs to the highest bidder! It’s up to Tony Stark to contain it and that means creating a new suit of armor…NOW!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	1	75960607909400111
		Best of A Bad Lot, Part 1: And On the First Day			DC Comics	Gen 13, Vol. 4	Gail Simone	1	76194125538500111
	Juan Doe	Civil War, Civil War		Domino and Shatterstar attack the X-Mansion, with the intention of freeing the 198.  They manage to put a significant amount of hurt on the Sentinels, and get away with over half of the mutants.  Iron Man puts together a mutant led team to bring them in, while Cyclops does the same.	Marvel Comics	Civil War: X-Men	David Hine	1	75960605977500111
Alex Maleev		Civil War, The Illuminati		In the wake of the Kree-Skrull war, Iron Man assembles a group of humanity's greatest heroes to create a proactive task force, designed to safeguard the world against various outside threats.  Black Panther opts out from the start, and Namor leaves years later when the group decides to launch the Hulk into space (see Planet Hulk).  The rest of the group is divided when the Superhuman Registration Act arrives.	Marvel Comics	New Avengers: Illuminati, Vol. 1	Brian Michael Bendis	1	75960605919500131
		Civil War - Taking it to the Streets, Part 1		Colleen Wing and Misty Knight have reformed the Heroes for Hire, originally intended to track down bail jumpers and other mundane types, but they are recruited by Iron Man's forces to help bring in unregistered heroes.  Their first mission with a full roster, bringing in Vienna, goes according to someone's plan, though we're not sure whose...	Marvel Comics	Heroes For Hire, Vol. 2	Justin Gray; Jimmy Palmiotti	1	75960606005400111
		Civil War, Young Avengers & Runaways		After stopping the Flag-Smasher from making a big incident in California, the Runaways make the news as unauthorized super-humans. Tired of being kept on permanent monitor-duty, the Young Avengers decide to fly out to the west coast to try to recruit the Runaways to their side in the Civil War. However, the Runaways are wary of any team with the word 'Avengers' in their name.	Marvel Comics	Civil War: Young Avengers & Runaways	Zeb Wells	1	75960605981200111
	Mark Brooks	Covenant			Marvel Comics	X-Men Annual, Vol. 2	Mike Carey	1	75960606075700111
		A Day in Someone Else's Life		- SUPERIOR SPIDER-MONTH JUST GOT A WHOLE LOT MORE SUPERIOR WITH A BRAND NEW ONGOING! - CHALLENGE THEM, OF COURSE!	Marvel Comics	Superior Spider-Man Team-Up	Christopher Yost	1	75960607953700111
Salvador Larroca	Esad Ribic	Enter			Marvel Comics	Newuniversal	Warren Ellis	1	75960605971300121
Roger Cruz	Mark Brooks	Freshman Flu			Marvel Comics	Arana: The Heart of the Spider	Fiona Kai Avery	1	75960605670500111
Ryan Stegman	Ryan Stegman	Hero or Menace?		THEN!?Peter Parker spent a lifetime living up to the responsibilities his powers foisted upon him but his Amazing story finally ended dramatically in the historic Spider-Man #700. NOW!?The new Amazing Spider-Man has arrived and he is better in every single way. Smarter, stronger?Superior.	Marvel Comics	Superior Spider-Man	Dan Slott	1	75960607912400111
	J.G. Jones	Hostage Crisis		- This ain't no regular Annual, buck-o! This one counts! - BLACKOUT is back, and he wants to re-establish his reputation by killing the toughest guy in town... Spider-Man! - He plans to force Peter Parker Spidey into a trap. Blackout's leverage? Aunt May! - The world will never look at Superior Spider-Man the same after this. BE THERE!	Marvel Comics	Superior Spider-Man Annual	Christos N. Gage	1	75960607896700111
Brian Denham	Brian Denham	Hypervelocity, Part 1		Written by ADAM WARREN. Penciled by BRIAN DENHAM. Cover by ADAM WARREN.  A single, grueling night of high-speed, mechanized mayhem finds Tony Stark and a new, uniquely improved version of the Iron Man armor caught in the crossfire between the bleeding-edge technology of an insurgent mecha subculture and the massed hardware of an elite 'cape-killing' paramilitary force. Besieged by ballistic missiles, supersonic jihadi LMDs, seductive viral avatars and cyberdrug-addled roboravers, Iron Man must push himself far beyond his technological and biological limits to survive the onslaught of ultra-tech war machinery...All the while these unknown forces are homing in on Iron Man to unleash their deadliest weapon 'GODHAMMER'! A two-ton cluster payload of Kinetic-Energy penetrator submunitions.. Writer Adam Warren (Livewires) delivers the fast-paced, tech-laced narrative, and artist Brian Denham renders the action in high-contrast 'technoir' realism, with Guru eFX adding vibrant colors to the mix. 32 PGS./Rated T  Cover price $2.99.	Marvel Comics	Iron Man: Hypervelocity	Adam Warren	1	75960605851800111
		Infinity			Marvel Comics	Infinity	Jonathan Hickman	1	75960607882000121
	Adam Kubert	Infinity		The oversized kickoff to the year's most anticipate Blockbuster summer event, chaning the way you view the Marvel Universe! - The outbreak of war on two fronts: Earth and Space, with our heroes torn between them. - The world-shattering return of Thanos! - Includes material from FREE COMIC BOOK DAY: INFINITY	Marvel Comics	Infinity	Jonathan Hickman	1	75960607882000111
	Skottie Young	Infinity		The oversized kickoff to the year's most anticipate Blockbuster summer event, chaning the way you view the Marvel Universe! - The outbreak of war on two fronts: Earth and Space, with our heroes torn between them. - The world-shattering return of Thanos! - Includes material from FREE COMIC BOOK DAY: INFINITY	Marvel Comics	Infinity	Jonathan Hickman	1	75960607882000141
	Greg Land	Infinity		INFINITY TIE-IN! new ongoing series! FROM THE BATTLEFIELDS OF INFINITY COMES THE MIGHTY AVENGERS! - The Avengers are light-years away in space, contending with the Builders! Thanos' marauders ransack the Earth, doing as they please! Who will stand in defense of mankind? - Luke Cage! The Superior Spider-Man! Spectrum! The White Tiger! Power Man! And a mysterious figure in an ill-fitting Spider-Man Halloween costume! These unlikely heroes must assemble when no one else can-against the unrelenting attack of Proxima Midnight!	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	1	75960607959900111
Alejandro Barrionuevo	Alé Garza	Infinity, The Heist		INFINITY TIE-IN - As the Marvel U prepares for Thanos, Spymaster and some of Marvel's best baddies decided where there is chaos - there is opportunity! - It's the crime of the century and an alien invasion is all the cover they need - so why is BLIZZARD having doubts? - Frank Tieri and Ramon Bachs bring you the biggest score - it's the Infinity Heist!	Marvel Comics	Infinity Heist	Frank Tieri	1	75960607974200111
Dustin Weaver	Olivier Coipel	Inhumanity		- After INFINITY, the Marvel Universe has changed. - The Avengers find themselves face to face with Karnak who has discovered the secret of the Inhumans that will shake the Marvel U to its core.	Marvel Comics	Inhumanity	Matt Fraction	1	75960608006900111
André Lima Araújo	Dustin Weaver	Initiate, Chapter 1		HARDER. BETTER. FASTER. STRANGER. - The triumph of Hank Pym turns to tragedy for the human racean unfathomable Pandora's Box of destruction! - When a brave new world is unleashed, only one team of Earth's Mightiest Heroes can save us from the future - AVENGERS A.I.! - THE VISION! HANK PYM! VICTOR MANCHA! DOOMBOT! The mysterious ALEXIS! MONICA CHANG, AGENT OF S.H.I.E.L.D.! - The AGE OF ULTRON is over! The AGE OF A.I. is NOW!	Marvel Comics	Avengers A.I.	Sam Humphries	1	75960607940700111
	Bob Layton	Iron Man: The End		Tony Stark is not a young man anymore. He suffers from a degenerative nerve condition, and is forced to recognize the possibility that he may not be able to continue as head of Stark Industries or as Iron Man much longer. However, no matter how old he gets, he's always got enemies who want to face off against Iron Man.	Marvel Comics	Iron Man: The End		1	75960606173000111
David LaFuente	David LaFuente	It's the Most Loneliest Time of the Year!		- It's Christmas Eve in Avengers Tower. Everybody's got somewhere better to be and Cap's all alone on Tower-sitting duty. Or is he? - Outside all is calm, all is quiet, but inside it's an avalanche of mayhem as an intruder turns the Avengers' own tower against them! - And introducing Zamira! She's Meryl Streep with a vengeance! Or maybe just a hormonal teenager...WITH OUT OF CONTROL SUPER POWERS!	Marvel Comics	Avengers Annual 2013	Kathryn Immonen	1	75960608005200111
John Cassaday	John Cassaday	New Union		- THIS IS IT! The greatest era of the Marvel Universe starts here! From the ashes of AvX an all-new, all-different Avengers assemble! - Dive headfirst into Marvel NOW! as the superstar dream team of Rick Remender (Uncanny X-Force, Venom) and John Cassaday (Astonishing X-Men, Captain America) deliver high stakes action in UNCANNY AVENGERS #1 - sporting a jaw-dropping cover by Cassaday! - No fan can miss the blockbuster debut of an all-new Avengers team featuring members from all across the Marvel Universe...a team uniting Avenger and X-Man alike! - Captain America begins his quest to create a sanctioned Avengers unit comprised of Avengers and X-Men, humans and mutants working together - so why is Professor Xavier's dream more at risk than ever? - The funeral of one of Marvel's greatest heroes! - The first attack of the most loathsome villain in history will quake the Marvel Universe forever! - But following the devastating events of Avengers VS X-Men, can Captain America pull together a team that can get along for its first mission?	Marvel Comics	Uncanny Avengers	Rick Remender	1	75960607826400111
Barry Kitson; Kano; Carmine Di Giandomenico	Salvador Larroca	Palmer Addley Is Dead, Part One		Written by NICK SPENCER Penciled by BARRY KITSON Covers by SALVADOR LARROCA Variant Covers by MARKO DJURDJEVIC & DHEERAJ VERMA Spinning directly out of INVINCIBLE IRON MAN! New mission! New armor! New Iron Man! Lt. Col. James Rhodes is War Machine?the single most advanced one-man weapon of conventional combat. But wars aren't fought?the way they used to be - and when Rhodey has to face a?mysterious enemy he can't shoot, can't bomb, can't even see, he's going to be forced to evolve?or die. Find out why War Machine becomes Iron Man 2.0 in the 3-part launch arc?of this all-new ongoing series! By breakout sensation Nick Spencer (Morning Glories, Action Comics) and the legendary Barry Kitson (INCREDIBLE HULKS, THE ORDER)! 40 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Nick Spencer	1	75960607068800111
Ming Doyle; Michael Avon Oeming; Michael del Mundo	Ming Doyle	Tomorrow's Avengers		LEAPING OFF THE PAGES OF THE BIGGEST COMIC OF THE YEAR COMES STORIES ABOUT THE BIGGEST HEROES IN THE MARVEL UNIVERSE! - FIND OUT WHO THE GUARDIANS ARE - AND WHY THEY'RE WORTHY OF GUARDING THE GALAXY. - FEATURING: ROCKET RACCOON, DRAX, GAMORA & GROOT!	Marvel Comics	Guardians of the Galaxy: Tomorrow's Avengers	Brian Michael Bendis	1	75960607926100111
		The Tornado's Path, Chapter One: Life		Batman, Superman and Wonder Woman meet in the Batcave to go about reassembling the Justice League of America.  As they discuss who they think deserves an invitation to join the League, we peek into the lives (and deaths) of several potential and former members.Dr. Magnus has helped to reassemble the Red Tornado's android body, but his spirit hasn't yet returned to it.  His girlfriend Kathy Sutton sits by the body, waiting for him to wake up, and her daughter wants to know when Daddy is coming home.  But Red Tornado has other plans.  With Deadman's assistance, he takes posession of a body left behind by Multiplex before his death.  With no soul of it's own, the body is just dead and empty, but Red wants to give those he loves more than just a cold android form.Vixen stops by a bar in Hub City looking for the Question, to learn that he hasn't worked out of Hub City for at least a year.Black Lightning is using his status as a former member of Luthor's presidential administration to get information from criminal sources.  They'll tell him almost anything in the hopes that he'll put in a good word with Lex for them.And Oliver Queen knows exactly what's going on when he finds Hal Jordan and Black Canary knocking at his door.  But are they here to bring Green Arrow into the League... or are they there for someone else?	DC Comics	Justice League of America, Vol. 2	Brad Meltzer	1	76194125641200111
Clayton Crain	Clayton Crain	Trail of Tears, Part 1			Marvel Comics	Ghost Rider: Trail of Tears	Garth Ennis	1	75960605834100111
Marcos Marz	Paul Rivoche	Two Cities / Orbital / By Moonlight		FATAL FRONTIER is over. The moon is safe. The Earth is safe. But is Tony's sanity? What comes back from the moon with Tony? What new friends and new enemies? Once you've passed the fatal, final frontier, can you ever go back?	Marvel Comics	Iron Man, Vol. 5 Annual	Kieron Gillen	1	75960607988900111
Garry Brown	Garry Brown	Unbreakable, Part 1		'UNBREAKABLE' PART 1 Jim Rhodes has quit the SECRET AVENGERS!!! As the IRON PATRIOT, he's bringing his fight against the bad guys to the home front. But a new villain emerges with a brutal plan that could turn Iron Patriot into America's most wanted!!!	Marvel Comics	Iron Patriot, Vol. 1	Ales Kot	1	75960608040300111
	Frank Cho				Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	2	75960605828000211
Filipe Andrade	Skottie Young			Based on the Novel by EDGAR RICE BURROUGHS Adaptation by ROGER LANGRIDGE Art by FILIPE ANDRADE Cover by SKOTTIE YOUNG The comic-book adaptation of Edgar Rice Burroughs' tale continues! See John Carter meet the beautiful but deadly Princess Dejah Thoris! Watch him make a dangerous enemy! And discover the fate of those who dare to cross the Martians, when Carter takes the life of a Thark warrior! The world of Barsoom continues to unfold in this brand new interpretation of a great classic. 32 PGS./All Ages	Marvel Comics	John Carter: A Princess of Mars		2	75960607695600211
Ramón K. Pérez				? Finally Back On Mars, John Carter Finds Himself In The Dreaded Valley Of The Dead! ? He's Escaped From The Clutches Of Beasts And Monsters?But Can He Escape From The Grasp Of The Gods?  ? Who Is Cathoris, The Red Martian Who Mysteriously Looks Like John Carter?	Marvel Comics	John Carter: Gods Of Mars	Sam Humphries	2	75960607798400211
John Cassaday	John Cassaday			What are The Red Skull's new powers? How did he become the most powerful man on Earth? - Can Havok and Thor defeat the spreading influence of Honest John, The Living Propaganda?! - Rogue and Scarlet Witch trapped on the Isle of the Red Skull's S-Men! - Wolverine & Captain America: uncover the truth behind the worldwide mutant assassination epidemic!	Marvel Comics	Uncanny Avengers	Rick Remender	2	75960607826400211
				- While London deals with the brutal Badoon invasion, the fate of the Guardians of the Galaxy may have been decided millions of miles away.	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	2	75960607830100211
				THE RISE OF MARVEL'S GREATEST EVIL CONTINUES BY TWO OF THE MOST ACCLAIMED CREATORS IN COMICS!! - Continuing the jaw-dropping origin of the mad Titan who will soon change the face of the Galaxy! - Death follows young Thanos as his inner darkness grows.	Marvel Comics	Thanos Rising	Jason Aaron	2	75960607868400211
Stephen Segovia	Clayton Crain			- CARNAGE IS CAPTURED! But can the Wizard and Klaw subdue him long enough to create their SUPERIOR CARNAGE? - KEVIN SHINICK (Avenging Spider-Man) and STEPHEN SEGOVIA (X-Treme X-Men) perform unspeakable acts to create their own monster issue!	Marvel Comics	Superior Carnage	Kevin Shinick	2	75960607816500211
	Daniel Acuña	Doom Nation		Upon learning that Doom has been asked to join the team, Ben freaks out then takes Dragon Man and storms off with Sue in pursuit for a beer.  The think tank (Spidey, Reed, Nathaniel, Val) present Doom to the kids in a classroom like matter to brainstorm how to restore Doom's intellect. At the bar, Dragonman tells Thing he's sworn off violence, and Sue tells Ben they need to find their place in this new world.  Once the think tank decide on a course of action, they had to Latveria to go after Kristoff who has a backup of Doom's brainwave's, and successfully transfer them, thus restoring Doom.  The now healed Doom reveals he made a deal with Val in order to get his intellect back and that deal means defeating Reed.	Marvel Comics	FF, Vol. 1	Jonathan Hickman	2	75960607495200211
		Age of Ultron, Book Two		For years the heroes of the Marvel Universe have lived in fear that the artificial intelligence known as Ultron would one day evolve to fulfill its desire to wipe out all organic life and take over the Earth -- that day has arrived. This massive 10-part Marvel Universe-spanning event is brought to you by Eisner award-winning writer Brian Michael Bendis and comics legend Bryan Hitch.	Marvel Comics	Age of Ultron	Brian Michael Bendis	2	75960607494500211
	Greg Land	Believe, Part 2: A Gentleman's Wager		- Tony's hunt for the rogue Extremis Units takes him to the island of NEW CAMELOT! - Introducing THE CIRCLE, a mysterious high-tech brotherhood of mech-knights! - IRON MAN vs. the secret Russian Black Exoskeleton Academy's greatest pilot!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	2	75960607909400211
		Best of A Bad Lot, Part 2: Never Be Divided			DC Comics	Gen 13, Vol. 4	Gail Simone	2	76194125538500211
	Michael del Mundo	Blood Ties / Chasing Ghosts		The last temptation of Green Goblin Phil Urich! As Goblin Nation consumes New York, the Superior Spider-Man's world is in flames! Who will rise? Who will fall? NO ONE will be the same after this!	Marvel Comics	Superior Spider-Man Annual	Christos Gage	2	75960608057100111
	Juan Doe	Civil War, Civil War		Scott and Bishop are leading teams after the 198 in different paths.  Bishop's team learns that the president is ready to offer them amnesty, and suggests that the mutants go along with it.  Another mutant is in control of Cyclops, and his next actions aren't condusive to peaceful negotiations.	Marvel Comics	Civil War: X-Men	David Hine	2	75960605977500211
Ariel Olivetti	Ariel Olivetti	Civil War - How I Won The War, Part 2: Dead Soldiers			Marvel Comics	Punisher War Journal, Vol. 2	Matt Fraction	2	75960605979900211
		Civil War - Taking it to the Streets, Part 2		The Heroes for Hire are hired to track down Captain America, which they do only to prevent another death like Goliath's from happening.  Along the way, they uncover a skrull organ harvesting operation, which is an investigation most of the team tables for another day.  When they find Cap, they are betrayed by one of their own.	Marvel Comics	Heroes For Hire, Vol. 2	Justin Gray; Jimmy Palmiotti	2	75960606005400211
Stefano Caselli	Jim Cheung; Justin Ponsor; John Dell III; John Dell III	Civil War, Young Avengers & Runaways		The Young Avengers have headed to the West Coast to attempt to help the Runaways evade the governments forces. But when the Runaways find a group of Avengers at their door, they immediately think of Iron Man's team and combat becomes almost inevitable. But Patriot and Nico persuade the two teams to calm down, and talk. They find that they've got a lot more in common than they thought.But Maria Hill, Commander of S.H.I.E.L.D. has recruited an agent from the Cube to help sniff out the Runaways.	Marvel Comics	Civil War: Young Avengers & Runaways	Zeb Wells	2	75960605981200211
Brian Denham	Brian Denham	Hypervelocity, Part 2		Written by ADAM WARREN. Pencils and Cover by BRIAN DENHAM.  As armor-piercing destruction bears down on Iron Man at eight times the speed of sound, the high-tech secret at the heart of Tony Stark's latest reinvention of his powered suit is finally revealed... and still another set of mysterious enemies, far faster and deadlier than even the new and improved Iron Man, are likewise closing in for the cybernetic kill! 32 PGS./Rated T  Cover price $2.99.	Marvel Comics	Iron Man: Hypervelocity	Adam Warren	2	75960605851800211
	John Byrne	I Can't ... (and I Don't Want To) ... But I Must		Peter Parker is just trying to live his new life, but his old life just won't let him go.  When the new Spider-Man is injured by Shadrac's attack on Oscorp, he feels compelled to go into action to save his replacement's life.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Howard Mackie	2	75960604716100211
		I Can't ... (and I Don't Want To) ... But I Must		Peter Parker is just trying to live his new life, but his old life just won't let him go.  When the new Spider-Man is injured by Shadrac's attack on Oscorp, he feels compelled to go into action to save his replacement's life.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Howard Mackie	2
Frazer Irving	Frazer Irving	The Inevitable, Book Two: Blind Dates			Marvel Comics	Iron Man: The Inevitable	Joe Casey	2	75960605847100211
	Greg Land	Infinity		INFINITY TIE-IN! new ongoing series !  - Proxima Midnight is killing New York City one block at a time...  - Luke Cage's ad-hoc Avengers might not be able to stop her...  - And the one hero who can is at the bottom of the Mariana Trench.  - Think it can't get worse? It can always get worse.	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	2	75960607959900211
Jerome Opeña; Dustin Weaver	Adam Kubert	Infinity, Fall		- The Inhumans pay the tribute. - Victory in deep space. - The secrets of Thanos.	Marvel Comics	Infinity	Jonathan Hickman	2	75960607882000211
André Lima Araújo	David Marquez	Initiate, Chapter 2		- The return of the Sentient Iron Man armor! - Dimitrios -- a powerful super-intelligence with an axe to grind against humanity -- strikes...! - What secrets does the powerful Alexis hold for the Marvel Universe? Is it your bank account balance, your email password, your secret journal entries? - There's nothing about your life that artificial intelligence cannot use against you! BEWARE!	Marvel Comics	Avengers A.I.	Sam Humphries	2	75960607940700211
